id,situacao,cargo,funcao
1590079,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
76120,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
521749,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2231937,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3720444,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3720444,Ativo,Sem informaç,FUC 000.1
669299,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3225901,Ativo,MEDICO-AREA,Sem função
3225901,Ativo,Sem informaç,FG 000.1
2089360,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
3771,Ativo,PSICOLOGO-AREA,Sem função
2846499,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
984114,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2067799,Pensionista,ASSISTENTE EM ADMINISTRACAO,Sem função
2681758,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2357309,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3263152,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3140055,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
42429,Ativo,SERVENTE DE LIMPEZA,Sem função
2917287,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2917287,Ativo,Sem informaç,FUC 000.1
3751575,Ativo,TECNICO EM SOM,Sem função
338658,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
393688,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
2893762,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1728223,Pensionista,FISIOTERAPEUTA,Sem função
2480410,Ativo,ANALISTA DE TEC DA INFORMACAO,Sem função
1615516,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2313118,Ativo,VIGILANTE,Sem função
2319152,Aposentado,AUX EM ADMINISTRACAO,Sem função
29927,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1176893,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
494437,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
1548563,Ativo,ADMINISTRADOR,Sem função
824705,Aposentado,TEC DE TECNOLOGIA DA INFORMACAO,Sem função
384598,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
3045143,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
1970865,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
690984,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2059362,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1421202,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2279755,Ativo,TECNICO DE LABORATORIO AREA,Sem função
2252358,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1276625,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
344625,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2127773,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3861337,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
1792838,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1649916,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3192872,Ativo,BIBLIOTECARIO-DOCUMENTALISTA,Sem função
2378625,Ativo,AUX EM ADMINISTRACAO,Sem função
44121,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
879965,Aposentado,VIGILANTE,Sem função
804676,Aposentado,BIBLIOTECARIO-DOCUMENTALISTA,Sem função
241875,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1147060,Ativo,EDITOR DE IMAGENS,Sem função
2131095,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
